Year,Manufacturer,Division,Model,Index (Model Type Index),Displacement,Cylinders,Transmission,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Comb FE (Guide) - Conventional Fuel,City Unadj FE - Conventional Fuel,Hwy Unadj FE - Conventional Fuel,Comb Unadj FE - Conventional Fuel,City Unrd Adj FE - Conventional Fuel,Hwy Unrd Adj FE - Conventional Fuel,Comb Unrd Adj FE - Conventional Fuel,Guzzler,Air Aspir Method,Air Aspiration Method Desc,Trans,Trans Desc,# Gears,Drive Sys,Drive Desc,Fuel Usage  - Conventional Fuel,Fuel Usage Desc - Conventional Fuel,Annual Fuel1 Cost - Conventional Fuel,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Carline Class,Carline Class Desc,Energy Storage Device Desc,# Batteries,Battery Type Desc,Total Voltage for Battery Pack(s),Batt Energy Capacity (Amp-hrs),Batt Specific Energy (Watt-hr/kg),Batt Charger Type Desc,Regen Braking Type Desc,"Regen Braking Type, If Other","Regen Braking Wheels Source (Front, Rear, Both)",Driver Cntrl Regen Braking?,MFR Calculated Gas Guzzler MPG ,FE Rating (1-10 rating on Label),GHG Rating (1-10 rating on Label),GHG 1-10 rating on Ethanol (EPA Determined),#1 Mfr Smog Rating (Mfr Smog 1-10 Rating on Label for Test Group 1),$ You Spend over 5 years ,City CO2 Rounded Adjusted,Hwy CO2 Rounded Adjusted,Comb CO2 Rounded Adjusted
2019,BMW,BMW,M5 Competition,561,4.4,8,Auto(S8),15,21,17,18.1512,29.0277,21.8324,14.705,20.9265,16.9762,G,TC,Turbocharged,SA,Semi-Automatic,8,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2650,2,2,5,Midsize Cars,,,,,,,,,,,,22,3,3,,3,6250,602,423,521
2019,Nissan,NISSAN,FRONTIER 4WD FFV,292,4.0,6,Auto(A5),15,21,17,18.6474,28.4143,22.0596,15.0822,20.5132,17.1221,,NA,Naturally Aspirated,A,Automatic,5,P,Part-time 4-Wheel Drive,G,Gasoline (Regular Unleaded Recommended),2250,2,2,11,Small Pick-up Trucks 4WD,,,,,,,,,,,,,3,3,3,3,4250,591,435,521
2019,General Motors,Cadillac,XTS HEARSE,80,3.6,6,Auto(S6),15,21,17,18.2,29.6,22.0155,14.7421,21.311,17.1163,,NA,Naturally Aspirated,SA,Semi-Automatic,6,F,"2-Wheel Drive, Front",G,Gasoline (Regular Unleaded Recommended),2250,2,2,17,Special Purpose Vehicle 2WD,,,,,,,,,,,,22.2,3,3,,3,4250,604,419,521
2019,General Motors,Cadillac,XTS LIMO,81,3.6,6,Auto(S6),15,21,17,18.2,29.6,22.0155,14.7421,21.311,17.1163,G,NA,Naturally Aspirated,SA,Semi-Automatic,6,F,"2-Wheel Drive, Front",G,Gasoline (Regular Unleaded Recommended),2250,2,2,17,Special Purpose Vehicle 2WD,,,,,,,,,,,,22.2,3,3,,3,4250,604,419,521
2019,Maserati,MASERATI,LEVANTE,41,3.0,8,Auto(A8),15,21,17,18.3,29.3,22.0201,14.8182,21.1096,17.1134,,TC,Turbocharged,A,Automatic,8,A,All Wheel Drive,GPR,Gasoline (Premium Unleaded Required),2650,2,2,33,Standard SUV 4WD,,,,,,,,,,,,21.1,3,3,,1,6250,601,423,521
2019,Porsche,Porsche,911 GT3,132,4.0,6,Auto(AM-S7),15,20,17,18.4,27.9,21.7295,14.9,20.2,16.8799,G,NA,Naturally Aspirated,AMS,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),2650,2,2,1,Two Seaters,,,,,,,,,,,,21.9,3,3,,1,6250,591,437,522
2019,aston martin,Aston Martin Lagonda Ltd,DBS,4,5.2,12,Auto(S8),14,22,17,17.7156,30.6398,21.8661,14.3728,22.0071,17.0315,G,TC,Turbocharged,SA,Semi-Automatic,8,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),2650,2,2,2,Minicompact Cars,,,,,,,,,,,,22,3,3,,3,6250,618,404,522
2019,BMW,BMW,M6 Gran Coupe,664,4.4,8,Manual(M6),15,22,17,17.9,30,21.8693,14.5136,21.5792,17.0216,G,TC,Turbocharged,M,Manual,6,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),2650,2,2,4,Compact Cars,,,,,,,,,,,,22,3,3,,1,6250,612,411,522
2019,Ford Motor Company,Ford,F150 5.0L 2WD FFV GVWR>7599 LBS,124,5.0,8,Auto(S10),15,20,17,21,32.3,24.9238,15,20,17,,NA,Naturally Aspirated,SA,Semi-Automatic,10,R,"2-Wheel Drive, Rear",G,Gasoline (Regular Unleaded Recommended),2250,2,2,12,Standard Pick-up Trucks 2WD,,,,,,,,,,,,,3,3,3,3,4250,592,444,522
2019,FCA US LLC,Dodge,Challenger,13,6.4,8,Manual(M6),14,23,17,17.3,31.4,21.6811,14.0551,22.5138,16.9149,G,NA,Naturally Aspirated,M,Manual,6,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),2650,1,1,5,Midsize Cars,,,,,,,,,,,,21.8,3,3,,1,6250,629,393,523
